1555.26 0 1061.73 1555.26 887.528 0 0 0 0
10269 295 97798
1 -8.07761 6.76172 57.971
4 -5.24124 7.80643 59.6408
15 -9.08381 -1.81696 50.6835
19 -5.81134 6.1996 58.2717
25 -8.04088 8.03413 59.6315
27 -8.17022 6.44667 58.1417
28 -5.64254 7.77277 59.6895
43 -5.53613 4.89665 56.6791
62 -9.08193 -3.08251 48.9549
67 -16.7354 2.20419 53.4937
74 -10.1475 -7.54392 45.1735
89 -5.7294 6.60843 58.2404
93 8.08681 -11.3354 42.7938
97 -16.2884 10.0835 60.9425
99 -16.4399 8.60063 59.6
101 -16.7525 5.66168 57.0172
113 -5.80039 4.91013 56.4546
119 -8.40337 5.12358 56.3548
128 -9.38859 0.733278 52.797
129 -10.4876 -3.52694 48.4716
135 -8.51952 8.99862 60.159
147 -9.62939 4.74379 55.7869
165 -9.17881 0.110704 52.1172
184 -16.667 4.36116 55.479
187 -17.1449 1.80009 53.5815
195 -8.31576 8.41145 59.5926
200 -9.6946 -3.55749 48.4917
232 -10.1219 0.789891 52.7643
242 -9.29209 9.104 60.3412
244 -10.9835 -7.47075 45.2578
247 -13.9187 -5.47159 46.8495
277 14.8853 5.93944 59.0035
295 -8.8607 4.71162 55.7708
298 -9.45809 -3.09197 48.9585
307 14.5785 3.13109 55.6667
319 13.1913 -10.6132 44.2568
321 -13.3787 -4.73838 46.6591
322 -14.2814 -4.64688 46.5383
332 15.2184 6.30062 59.1166
340 -10.0043 -8.14193 44.6003
343 -16.5754 9.82674 61.2421
358 -17.7447 1.15281 53.8701
391 14.8916 2.54857 55.374
397 -8.66301 5.06085 56.1478
421 -14.6763 -5.3972 46.9556
426 15.4789 6.82977 59.4781
443 -10.2838 -3.72585 48.6463
449 -10.4407 -7.29442 45.013
457 -14.6086 -4.61529 46.7236
463 -8.86665 9.2769 59.9827
468 -16.2832 8.99591 59.412
469 -17.0453 9.92369 61.1608
473 -4.73947 4.73348 57.1699
475 -16.86 6.08377 56.6127
482 -8.10457 5.19539 56.3293
496 -7.19755 -3.47007 49.1405
498 -10.8275 -4.93695 46.5874
502 -6.57443 4.88614 57.1521
506 -5.93149 -5.44434 46.859
524 -13.682 -6.30405 45.8106
526 -17.0892 2.30141 53.3196
537 -7.66773 5.17095 58.7726
542 -16.6673 9.0207 59.363
546 -9.10545 -5.07924 46.5314
556 -5.65381 -5.41467 46.638
561 -8.21508 -3.37742 49.1677
562 -4.33269 8.20493 59.7108
564 -10.7131 -7.2668 45.0307
571 -8.57937 -3.34296 49.1129
572 -7.80644 4.96536 57.0205
574 -11.7825 -4.81959 46.5517
580 -10.321 -4.96563 46.578
603 -14.932 -5.99069 46.1805
605 -9.26317 -3.64195 48.4267
610 -6.98181 -5.60182 46.0675
615 -9.9729 -3.75293 48.6137
616 -10.9872 -3.81561 48.305
617 -7.86665 -3.40693 49.1365
624 -7.49492 -8.24136 44.5461
630 -17.1692 5.35101 56.849
638 -13.6298 -4.70338 46.5708
640 -17.1372 4.55127 55.3231
652 -9.54352 -8.0571 44.6073
673 -9.71537 0.990847 52.4602
674 -14.9318 -5.44062 46.9157
683 -17.3913 1.54081 53.9027
686 -15.5445 -2.49239 49.0695
696 -11.0572 -4.36225 47.8283
705 -7.38768 -5.22816 46.5545
721 -10.7455 -3.54819 48.4702
733 -6.80557 4.83377 56.6828
736 -12.7319 -4.74062 46.6626
739 -7.48505 8.362 58.5631
744 -5.83819 -6.2247 46.6137
754 -10.1419 -5.02346 46.8295
761 -15.1362 -5.70551 46.606
772 -11.5433 -4.84394 46.5523
775 -5.7782 -7.01761 45.6955
779 -9.39709 -5.07062 46.7462
791 -6.08499 4.73391 56.4474
794 -8.87068 -3.31295 49.1214
805 -12.499 -9.20053 43.3912
814 -12.9774 -6.10332 46.0441
827 -7.15211 4.91556 57.0973
835 -9.08253 0.447782 52.1358
838 -17.1321 8.45954 59.9074
846 -11.5589 2.68869 54.1628
855 -12.1682 -4.79609 46.6492
870 -4.91267 8.18992 58.8657
872 -5.20435 4.64644 56.2645
874 -12.7546 -4.36702 47.5991
877 -9.68715 -7.4658 44.9949
883 -12.537 -4.20117 47.7168
889 -11.7126 -3.49538 48.6174
898 -11.4028 9.26231 60.1344
906 -5.20098 8.20835 58.7402
921 -11.2156 -7.97424 44.6906
940 -7.72108 -6.25847 46.4296
956 -10.7961 -4.10221 48.0194
961 -12.6215 -4.73007 47.2351
963 -7.0206 -5.41835 46.6851
966 -13.1066 -3.36503 48.5584
981 -12.2074 -5.95078 46.5493
982 -4.62518 8.2223 59.5718
983 -9.68064 -4.97226 46.3514
987 14.8961 2.98965 55.7662
989 -9.37961 4.50323 55.9448
991 -6.77683 -8.29727 44.5179
1001 -16.59 8.30851 59.7326
1016 -12.3996 1.86378 53.3196
1021 -10.9526 1.17008 52.793
1022 -12.5834 -7.8508 44.6099
1172 15.6531 2.51058 55.2463
1269 8.63973 -10.1408 44.284
1696 -8.18832 -11.7066 41.7325
1807 8.27697 -10.1436 44.301
2273 -6.90338 -11.8286 41.6045
2373 -11.3605 -11.7428 41.162
2497 -10.7993 -11.9839 41.2486
2526 -2.49885 -11.9464 41.3981
2543 -2.67945 -12.2048 41.5399
2596 -3.159 -12.1818 41.5738
2605 -4.17837 -12.0777 41.6021
2614 -7.90195 -11.7281 41.6432
2706 -2.45953 -12.2088 41.5809
2721 -10.1945 -11.2903 41.6084
2816 -17.4419 -0.806149 51.2984
2828 -6.64614 -11.8198 41.6083
2875 -5.36785 -5.42098 46.5676
2899 -10.1921 -7.29595 44.9817
2903 -11.2063 -3.50578 48.5233
2906 -11.2528 -11.9707 41.2164
3021 -6.39799 -3.31728 48.9181
3062 -10.5338 -11.8037 41.0805
3072 8.28485 -12.9076 41.4026
3078 7.89518 -12.8657 41.3323
3123 13.6943 -5.10967 48.3412
3192 5.29567 -12.8553 41.413
3243 -11.9036 -6.2253 46.0573
3253 -6.97725 -4.72869 47.7363
3258 13.5979 -5.04676 48.9852
3268 -16.56 6.06971 56.8244
3283 -11.2188 -4.03863 48.0438
3304 -5.96723 -4.28346 48.2706
3399 4.67637 -8.84973 44.7825
3512 13.4266 -10.2736 44.0805
3534 14.7724 -5.73481 47.7907
3557 -10.8787 -12.1584 40.9344
3574 -4.75506 -5.46296 46.4943
3580 -10.8298 -5.76583 46.535
3608 -7.1911 -11.8101 41.582
3612 -5.7056 -6.4716 46.3672
3613 -2.70415 -12.3424 41.2681
3616 -9.25662 -6.15335 46.4232
3629 -9.69205 -11.5315 41.6383
3638 -13.609 -5.42447 46.6579
3649 -11.3319 -12.1309 40.9512
